"Processed MLD data kindly provided to me by staff at BIOS: Dominic Smith, Rodney Johnson, Nicholas Bates.",,,,,,,,,,
,,,,,,,,,,
Cast ID,Decimal Year,Cast Latitude,Cast Longitude,MLD (T alg.),MLD (S alg),MLD (rho alg),MLD (T threshold),MLD (rho threshold),Column10,Column11
10003001,1988.959732,31.718,64.218,96,96,95.5,97,95.5,30,20
10004002,1989.070025,31.656,64.224,108,112,108,112,112,106,40
10004003,1989.072137,31.69,64.251,105,110,105,110,110,107,21
10005001,1989.130795,31.651,64.208,11,18,11,28.5,18,11,11
10006001,1989.22637,31.659,64.188,11,10.5,10.5,11.5,10.5,11,11
10007007,1989.289688,31.602,64.224,48,18.5,18.5,24,18.5,12,12
10014005,1989.90703,31.617,64.117,88,88,88,88,88,88,88
10028002,1991.039755,31.733,64.135,12,117,12,120,117,12,12
10031001,1991.287024,31.74,64.153,11,18.5,11,47.5,18.5,11,11
10036002,1991.694777,31.733,64.141,36.5,19,38,36.5,19,18,12
10037003,1991.767922,31.732,64.135,20,14,12,20,14,14,12
10037004,1991.768322,31.718,64.143,24.5,14,14,24.5,15,12,12
50003001,1992.034884,31.747,64.167,40,42,42,109,42,40,16
10042001,1992.185613,31.737,64.162,12,14,12,19.5,14,12,12
10042006,1992.188685,31.691,64.078,16,34.5,16,51,34.5,16,16
10045001,1992.456659,31.736,64.161,20,12,14,16,14,16,12
10046001,1992.530927,31.744,64.16,19.5,15.5,21,19.5,15.5,11,11
10048001,1992.703461,31.712,64.176,16,13.5,12,16,13.5,12,12
10048002,1992.704814,31.596,64.179,16,14.5,14,16,14.5,14,14
10050002,1992.856792,31.732,64.167,61.5,49.5,66,61.5,49.5,46,14
10059001,1993.626737,31.734,64.111,30,29,31,30,29,11,11
10060001,1993.700342,31.737,64.173,29,29,14.5,29,14.5,11,11
10060002,1993.70234,31.742,64.146,30,30,28.5,30,28.5,26,26
10060004,1993.703193,31.734,64.139,28,27,27,28,27,27,17
10061001,1993.777102,31.72,64.178,32,32,31,32.5,31,30,16
10061004,1993.780025,31.636,64.188,21.5,10,11,21.5,10,11,11
10062001,1993.853817,31.731,64.167,54,19.5,19.5,54,19.5,15,11
10063001,1993.93058,31.742,64.178,57,57,57,57.5,57,57,45
10064001,1994.031048,31.712,64.192,123,123,125,124,123,123,11
10064002,1994.031115,31.709,64.195,121,489,121,121.5,121,119,97
10064004,1994.031642,31.659,64.246,121,487,121,121,121,33,119
20065001,1994.15985,31.742,64.182,91,93,91,105.5,93,91,87
20065002,1994.160236,31.726,64.22,78,78,78,101.5,78,78,72
10066002,1994.199214,31.743,64.175,13,98.5,11,305.5,98.5,13,11
10069003,1994.448596,31.717,64.125,12.5,12,12,12.5,12,12,12
10070002,1994.544496,31.669,64.173,12,11,12,12,11,12,12
10070003,1994.545961,31.668,64.175,13.5,13,15,13.5,13,11,11
10070004,1994.546638,31.674,64.187,15,14,12,15,12,12,12
10070005,1994.547099,31.681,64.215,12,10,10,12,11,12,12
10070006,1994.547156,31.682,64.219,10.5,10,12,10.5,10,12,12
10071002,1994.621221,31.678,64.177,14,11.5,11,14,11.5,11,11
10071003,1994.62269,31.672,64.167,18.5,17.5,18,18.5,17.5,18,18
10071004,1994.623293,31.683,64.184,18.5,18,21,18.5,18,13,11
10071005,1994.623843,31.686,64.203,19,11.5,22,19,11.5,12,12
10071006,1994.623891,31.689,64.203,15,10.5,11,15,10.5,11,11
10072001,1994.716924,31.604,64.162,34,32,34,34,32,12,12
10072002,1994.717266,31.675,64.167,35,37,35,35.5,35,25,23
10072003,1994.718623,31.661,64.184,39,39,37.5,39,37.5,39,39
10072004,1994.71926,31.677,64.217,45,45,43.5,45,43.5,43,43
10072005,1994.719711,31.696,64.224,38,38,38,38,38,12,12
10072006,1994.719758,31.698,64.227,34,26.5,35,34,26.5,11,11
10073003,1994.798229,31.654,64.154,62,484,62,62.5,62,60,50
10073004,1994.79859,31.625,64.137,52,51,52,52,51,52,16
10073005,1994.799157,31.603,64.132,52,51,50,52,50,15,13
10073006,1994.799212,31.602,64.133,51.5,48.5,53,51.5,48.5,17,11
10074002,1994.869907,31.593,64.168,78,454,78,78.5,78,78,22
10074003,1994.870146,31.668,64.167,75,74.5,77,75.5,74.5,75,15
10074004,1994.872061,31.691,64.172,68,68,68,68.5,68,68,68
10074005,1994.872635,31.693,64.165,82,81,82,82.5,81,80,80
10074006,1994.873069,31.703,64.161,74,74,74,74,74,74,60
10074007,1994.873116,31.704,64.164,67,67,67,67.5,67,67,65
10074008,1994.879108,31.622,64.196,77,79,77,77.5,77,79,15
10075003,1994.936225,31.673,64.163,59,56,45,59,56,47,45
10075004,1994.937844,31.695,64.198,73,68,68,71,68,37,27
10075005,1994.938455,31.683,64.226,78,75.5,75.5,77.5,75.5,74,14
10075006,1994.93887,31.701,64.247,83,81,81,82.5,81,75,57
10075007,1994.938908,31.7,64.254,80,77,77,79,77,66,32
10076002,1995.026115,31.656,64.163,120,120,120,120.5,120,120,114
10076003,1995.028316,31.668,64.168,112,110,110,111.5,110,108,106
10076004,1995.028371,31.668,64.168,109,109.5,109,111,109.5,107,31
10076005,1995.028838,31.671,64.161,106,107,106,108,107,106,106
20076001,1995.085772,31.662,64.185,182,185.5,182,187.5,185.5,156,156
20076002,1995.086315,31.664,64.15,179,159.5,159.5,175,159.5,155,153
20076003,1995.086748,31.61,64.145,190,178,178,192,178,158,18
20076004,1995.086798,31.607,64.147,192,180.5,180.5,193,180.5,172,20
10077001,1995.119543,31.599,64.177,218,224,218,225.5,224,122,120
10077002,1995.119882,31.67,64.169,204,205,204,206,205,204,196
10077003,1995.12136,31.666,64.166,208,209.5,208,212.5,209.5,206,74
10077004,1995.121946,31.678,64.191,216,215.5,215.5,218,215.5,204,204
10077005,1995.12231,31.671,64.18,205,206.5,205,210,206.5,187,185
10077006,1995.122363,31.671,64.178,202,201.5,200,206,201.5,194,18
20077001,1995.162468,31.661,64.161,158,201.5,44,214.5,201.5,158,154
20077002,1995.16308,31.632,64.201,188,156.5,156.5,188,156.5,12,12
20077003,1995.163506,31.629,64.222,11,28.5,11,160.5,28.5,11,11
20077004,1995.163556,31.63,64.225,153.5,21,21,153.5,21,11,11
10078001,1995.2023,31.666,64.166,240,241,241,245,241,240,22
10078002,1995.203545,31.661,64.167,37,251,37,256,251,225,37
10078003,1995.204182,31.607,64.174,227,249.5,231,251,249.5,245,21
20078001,1995.239728,31.643,64.191,198,214.5,214.5,219,214.5,198,22
50013002,1995.239728,31.643,64.191,198,214.5,214.5,219,214.5,198,22
20078002,1995.240175,31.639,64.188,29,217.5,11,222.5,217.5,29,11
50013003,1995.240175,31.639,64.188,29,217.5,11,222.5,217.5,29,11
20078003,1995.240226,31.638,64.19,200,211,202,215.5,211,202,46
50013004,1995.240226,31.638,64.19,200,211,202,215.5,211,202,46
10079002,1995.272664,31.666,64.177,46,51.5,51.5,54.5,51.5,46,28
10079003,1995.274814,31.664,64.159,76,80,76,83.5,86,78,78
10079004,1995.275337,31.696,64.178,66,68,64,72,72.5,26,14
10079005,1995.275719,31.715,64.168,72,28,28,51,28,16,12
10079006,1995.275776,31.719,64.169,61,26,26,47,26,15,13
20079001,1995.319269,31.719,64.203,38,37.5,37.5,38.5,37.5,14,12
20079002,1995.319697,31.746,64.194,48,29.5,29.5,38,29.5,12,12
10080001,1995.35484,31.589,64.171,74,73,73,74.5,73,16,12
10080002,1995.35515,31.666,64.167,92,87,87,91,87,16,16
10080003,1995.356962,31.653,64.176,86,92,86,94,92,54,54
10080004,1995.35761,31.66,64.169,9,14.5,9,77,14.5,11,11
